Date,Altitude,Magnitude,size
2018-02-01 06:37:09,21.1534406350157,-1.73271668026409,35.7252967689544
2018-03-04 04:42:49,20.7393038058832,-1.94682657885814,39.2774976689499
2018-04-04 02:36:42,21.0525810157325,-2.17996760880537,42.7499020282686
2018-05-05 00:21:04,21.9432075126797,-2.35325402222151,44.5861540269909
2018-06-05 22:04:06,22.907914468424,-2.25007456966674,43.6868134270436
2018-07-06 20:24:15,22.9421635766538,-2.04083550019333,40.7095791214377
2018-08-06 19:45:31,18.595962902824,-1.8284776865154,37.2034441244357
2018-09-06 18:40:37,13.8748561872155,-1.6655666045334,34.2196722958763
2018-10-07 17:28:56,9.60841092112149,-1.57457045955623,32.153240224239
2018-11-07 00:00:00,0,-1.56122984312591,31.0884008359815
2018-12-08 08:00:03,5.82022225141072,-1.57592018573088,31.034677346677
2019-01-08 08:11:21,13.7612264531914,-1.58788539941625,32.0151308064434
2019-02-08 07:34:05,15.5054693348841,-1.68062167456723,34.0667801802092
2019-03-11 06:21:05,15.5480818880065,-1.85152253136994,37.1541563865018
2019-04-11 04:25:05,15.4873083720921,-2.08007222148145,40.9322717957677
2019-05-12 02:16:28,15.5486638284644,-2.31449961282744,44.3715348712343
2019-06-12 23:58:49,15.7357049593944,-2.46536818638055,45.8291238851879
2019-07-13 21:41:33,15.9763046442852,-2.31855860800704,44.4218341319164
2019-08-13 19:33:40,16.0234486043836,-2.10115940666291,41.1051679853998
2019-09-13 18:25:02,14.968139282426,-1.89213253261814,37.4810419186536
2019-10-14 17:13:55,13.1446609698682,-1.73976265877092,34.5224986484293
2019-11-14 16:15:52,10.3756061165355,-1.66347853645811,32.564130448026
2019-12-15 00:00:00,0,-1.66702687197293,31.6638752951169
2020-01-15 00:00:00,0,-1.67125293271583,31.8205058455468
2020-02-15 07:21:32,10.0227423697545,-1.69969253028579,33.0498898235992
2020-03-17 06:14:22,12.9805974743119,-1.80911474136507,35.3788212812979
2020-04-17 05:04:11,15.5407015062145,-1.99454167538338,38.7472210306413
2020-05-18 04:07:46,17.2538765412287,-2.23263315799412,42.7440161112182
2020-06-18 02:08:22,16.8667800202296,-2.46789027222631,46.2092666842237
2020-07-19 23:50:27,16.1499375298554,-2.58862991042333,47.3998560108239
2020-08-19 21:33:57,15.6040943314021,-2.42375286874077,45.5598855453635
2020-09-19 19:27:47,15.4528945889126,-2.1961478440211,41.8880199313182
2020-10-20 17:34:27,15.7184171261342,-1.98560441870353,38.0783529596455
2020-11-20 16:07:04,16.3239898918226,-1.83821327810422,35.07345741801
2020-12-21 15:55:43,14.2349069275241,-1.77078823666963,33.1603798881837
2021-01-21 00:00:00,0,-1.78456444161476,32.362740056241
2021-02-21 00:00:00,0,-1.77788990133234,32.6568174034145
2021-03-24 05:58:47,8.69287072146406,-1.81460882879451,34.0450176855944
2021-04-24 04:50:03,13.872859144691,-1.93132646824179,36.5483871846215
2021-05-25 03:59:23,20.578071036375,-2.12248040850117,40.1028913399637
2021-06-25 03:48:30,26.3691379940921,-2.36442787199824,44.2730133878479
2021-07-26 02:00:35,25.7300245234069,-2.60013219944894,47.8127200116598
2021-08-26 23:43:46,24.3270733840318,-2.70570057116483,48.8570712712535
2021-09-26 21:28:42,23.2275156701688,-2.52555554084579,46.6797685974252
2021-10-27 19:23:43,23.0619162959663,-2.28587439527311,42.6770972449704
2021-11-27 17:30:50,23.9280862040847,-2.06950751366734,38.6643702458324
2021-12-28 16:00:21,25.5794992774225,-1.92151280802447,35.5788704667816
2022-01-28 16:45:00,19.395788901082,-1.85610652870702,33.6618759420112
2022-02-28 00:00:00,0,-1.87175700712182,32.8961295260195
2022-03-31 00:00:00,0,-1.85527826292046,33.2313126689666
2022-05-01 04:36:45,9.89186469467146,-1.89129844333473,34.6577834791316
2022-06-01 03:52:56,19.8447832490994,-2.00592798693325,37.1981834177463
2022-07-02 03:52:30,33.8475292012722,-2.19444654458719,40.8008957610288
2022-08-02 03:57:10,40.2515899629791,-2.43444138365429,45.038792857636
2022-09-02 01:48:06,39.3773973535672,-2.66854861451603,48.6256981521668
2022-10-03 23:31:37,37.7877391937122,-2.767223892821,49.5904933037521
2022-11-03 21:17:05,36.5351483264305,-2.57450518851214,47.1906617463105
2022-12-04 19:12:33,36.4335526387416,-2.32371624462019,42.9671884751696
2023-01-04 17:19:38,37.5910222418318,-2.10071887778969,38.8302916284123
2023-02-04 16:57:20,36.6920100627717,-1.9493895119408,35.7016652995281
2023-03-07 17:53:50,21.6364360239646,-1.88137547161463,33.7757999441152
2023-04-07 00:00:00,0,-1.89307253288445,33.0001409557421
2023-05-08 00:00:00,0,-1.86940619787498,33.3065133129448
2023-06-08 03:48:40,15.2008951424316,-1.89959041473647,34.6813270704874
2023-07-09 03:58:28,33.1309637538708,-2.00734973196963,37.1536007607204
2023-08-09 04:41:10,50.9770310656936,-2.18917698774375,40.6849401908001
2023-09-09 03:48:04,53.3434693920871,-2.42361044735209,44.8573415480452
2023-10-10 01:38:05,52.6939401975443,-2.65239017213816,48.363864461358
2023-11-10 23:20:14,51.4799078143338,-2.73923242287146,49.1958716528567
2023-12-11 21:05:00,50.5196623763962,-2.53665897928573,46.6626622727691
2024-01-11 19:00:40,50.5066177405937,-2.28005949738266,42.4004134261447
