Date,Altitude,Magnitude,size
2018-02-01 07:26:27,17.9710188580826,1.18840899599142,5.60087574521305
2018-03-04 06:43:45,15.2088760669859,0.773911289771296,6.81712838668325
2018-04-04 05:34:09,14.4968610287461,0.23143821301579,8.66114117021117
2018-05-05 04:29:24,15.2732236431171,-0.461404549229769,11.5233986366048
2018-06-05 03:50:09,16.467889810845,-1.32667214003595,15.9701250327484
2018-07-06 02:00:06,14.9158171394264,-2.30113419757704,21.7814893615001
2018-08-06 23:28:56,11.9619984104232,-2.69225412269471,24.1798866088208
2018-09-06 21:15:27,12.6096885382597,-1.96283306597403,19.9813501531022
2018-10-07 19:50:18,16.59275950373,-1.16126956215327,14.9263858043838
2018-11-07 18:51:13,22.9215255942884,-0.477320132715591,11.2784818636734
2018-12-08 18:00:59,30.9942258594526,0.09479495956804,8.79720254655131
2019-01-08 17:13:33,39.8530976529481,0.573899728529675,7.08995827070866
2019-02-08 17:04:41,47.6615704705969,0.969409146246542,5.89784466561231
2019-03-11 18:00:48,46.3710391773441,1.28586135492606,5.05788429770192
2019-04-11 18:53:45,37.8663439935483,1.52668538111612,4.46492330833034
2019-05-12 19:45:19,26.1992610579226,1.69523977385366,4.05022268752206
2019-06-12 20:22:51,14.5680746735844,1.79455175882774,3.76924592891287
2019-07-13 20:19:15,6.57244298535479,1.82685363720049,3.59421588638938
2019-08-13 00:00:00,0,1.79355329584891,3.50950193738077
2019-09-13 00:00:00,0,1.76223130998254,3.50889881492545
2019-10-14 06:28:41,12.2030385174263,1.79594551347048,3.5942287655965
2019-11-14 07:23:21,18.7356135714983,1.76474383599381,3.77485376031974
2019-12-15 08:06:49,19.4222013434167,1.66538845973231,4.06777361831011
2020-01-15 08:06:50,16.0818816296302,1.49676240775599,4.49809205459339
2020-02-15 07:21:32,13.4212183553965,1.26028597733664,5.09983505172196
2020-03-17 06:14:22,12.5624261814623,0.960367177603726,5.91755136569786
2020-04-17 05:04:11,13.6435839596224,0.603337645494594,7.01034593028729
2020-05-18 04:07:46,17.6654852481678,0.193869966891031,8.46328755603749
2020-06-18 03:46:41,26.4778148784063,-0.271998558539497,10.417248408302
2020-07-19 04:11:05,38.316371752259,-0.816291848152728,13.1272502904669
2020-08-19 03:52:17,43.9019236311505,-1.47884229027498,16.9584656439107
2020-09-19 02:00:00,44.8972102125599,-2.23153554552317,21.4192127264594
2020-10-20 23:24:31,43.2582603715961,-2.4896242890835,21.8035447460272
2020-11-20 21:05:17,43.6999250748121,-1.49161182287891,16.5324461393589
2020-12-21 19:29:05,47.6234894186043,-0.523180598744051,11.6808939329058
2021-01-21 18:19:16,53.0283267865973,0.233225988140076,8.62295001895232
2021-02-21 17:29:36,58.1264089564995,0.800617850280169,6.74349633638354
2021-03-24 18:24:05,54.9404443967633,1.2180012591179,5.55000757785521
2021-04-24 19:16:36,43.4214399952463,1.51454294588776,4.76825812323456
2021-05-25 20:05:02,28.8851295820425,1.71051715048546,4.24797293227135
2021-06-25 20:27:25,16.0182738306843,1.81984975964274,3.90457630912837
2021-07-26 20:03:05,8.13857896470391,1.85195065762515,3.68964787708979
2021-08-26 00:00:00,0,1.81310381388103,3.57589461489796
2021-09-26 00:00:00,0,1.70793400549443,3.54920687025188
2021-10-27 00:00:00,0,1.66109325310904,3.6041581562498
2021-11-27 07:45:36,10.8749247556014,1.63596099640721,3.74101888818121
2021-12-28 08:13:25,11.7183063309598,1.55772633915097,3.96316250992332
2022-01-28 07:51:19,10.2840558359462,1.43277079523492,4.2743335232602
2022-02-28 06:53:40,9.45286075961318,1.2711032102592,4.67605756266397
2022-03-31 05:43:13,9.97349581664668,1.08523560284508,5.16672365151364
2022-05-01 04:36:45,12.570120988305,0.886848560693802,5.74525019651651
2022-06-01 03:52:56,19.000356971014,0.681447085639419,6.42247678372219
2022-07-02 03:52:30,31.31888257728,0.462405917920091,7.24141466354291
2022-08-02 04:30:36,46.9230285707713,0.20606816622378,8.30588670689153
2022-09-02 05:20:12,58.0666963653862,-0.131336367059783,9.8194582870957
2022-10-03 04:38:27,60.6571366957954,-0.611266692560856,12.1127859846826
2022-11-03 02:56:44,62.0901037431115,-1.2654602822286,15.3138801640818
2022-12-04 00:19:53,63.1133405038136,-1.83986474448616,17.1636770200323
2023-01-04 21:37:36,62.6565178555517,-1.11145746729312,14.255870192113
2023-02-04 19:45:31,62.858740700823,-0.170339182687601,10.3643204938019
2023-03-07 18:30:06,63.6251471092703,0.552341877964193,7.77231135217748
2023-04-07 18:47:02,59.636736587972,1.06279827708827,6.18846035260876
2023-05-08 19:39:00,45.4239202884885,1.40964811441695,5.19729361959352
2023-06-08 20:19:51,28.8455909452821,1.63016496743714,4.55910889000181
2023-07-09 20:22:28,16.1608400837714,1.74930948394856,4.14465987323506
2023-08-09 19:40:25,9.10577969638934,1.78376419373417,3.88281354055141
2023-09-09 18:34:13,5.28950489356881,1.74523251071634,3.73343745457933
2023-10-10 00:00:00,0,1.64297313625961,3.67353159710476
2023-11-10 00:00:00,0,1.48596772228835,3.68950144967794
2023-12-11 00:00:00,0,1.42591159223803,3.77214144398322
2024-01-11 00:00:00,0,1.38247073440716,3.91292752367851
